row no.,tree no.,X,Y
7,32.00,725398.75,4162677.25
7,33.00,725397.33,4162676.11
7,34.00,725394.75,4162675.25
7,35.00,725393.75,4162674.25
7,36.00,725391.75,4162672.75
7,37.00,725388.75,4162671.25
7,38.00,725387.22,4162670.28
7,39.00,725384.75,4162668.25
7,40.00,725382.75,4162667.25
7,41.00,725379.25,4162665.75
7,42.00,725378.25,4162664.25
7,43.00,725376.60,4162663.27
7,44.00,725373.25,4162661.75
7,45.00,725369.75,4162657.75
7,46.00,725365.75,4162655.75
8,1.00,725490.25,4162731.75
8,2.00,725486.75,4162730.25
8,3.00,725484.25,4162729.75
8,4.00,725482.75,4162728.75
8,5.00,725479.75,4162726.25
8,6.00,725477.75,4162725.25
8,7.00,725473.75,4162722.75
8,8.00,725470.25,4162720.75
8,9.00,725467.75,4162718.75
8,10.00,725465.75,4162717.75
8,11.00,725461.25,4162714.75
8,12.00,725459.75,4162713.75
8,13.00,725458.25,4162712.75
8,14.00,725456.75,4162711.63
8,15.00,725454.75,4162710.75
8,16.00,725453.75,4162709.75
8,17.00,725451.75,4162708.25
8,18.00,725448.75,4162706.75
8,19.00,725446.75,4162705.25
8,20.00,725443.75,4162703.25
8,21.00,725442.40,4162703.23
8,22.00,725440.25,4162701.25
8,23.00,725437.25,4162699.25
8,24.00,725434.75,4162697.25
8,25.00,725428.25,4162693.25
8,26.00,725425.25,4162691.25
8,27.00,725421.75,4162689.25
8,28.00,725418.75,4162687.25
8,29.00,725416.25,4162684.75
8,30.00,725413.25,4162682.75
8,31.00,725412.16,4162682.99
8,32.00,725410.25,4162681.75
8,33.00,725408.25,4162680.75
8,34.00,725404.25,4162677.75
8,35.00,725401.75,4162675.25
8,36.00,725399.75,4162674.25
8,37.00,725397.25,4162672.75
8,38.00,725395.25,4162671.25
8,39.00,725392.25,4162669.25
8,40.00,725387.75,4162666.25
8,41.00,725385.75,4162665.25
8,42.00,725382.25,4162661.75
8,43.00,725376.75,4162659.75
8,44.00,725375.75,4162658.25
8,45.00,725372.75,4162656.75
8,46.00,725366.08,4162654.23
8,47.00,725366.98,4162652.38
9,1.00,725484.25,4162726.25
9,2.00,725482.25,4162725.25
9,3.00,725480.98,4162724.36
9,4.00,725478.75,4162721.75
9,5.00,725476.75,4162721.25
9,6.00,725475.32,4162720.51
9,7.00,725473.75,4162719.25
9,8.00,725472.25,4162718.25
9,9.00,725468.75,4162716.25
9,10.00,725467.75,4162715.25
9,11.00,725464.19,4162713.03
9,12.00,725462.75,4162712.25
9,13.00,725461.75,4162711.25
9,14.00,725459.14,4162708.96
9,15.00,725456.75,4162708.25
9,16.00,725452.25,4162705.25
9,17.00,725450.25,4162704.25
9,18.00,725448.30,4162702.87
9,19.00,725445.25,4162700.25
9,20.00,725442.25,4162698.75
9,21.00,725439.25,4162696.75
9,22.00,725436.25,4162694.25
9,23.00,725433.75,4162692.75
9,24.00,725429.75,4162690.75
9,25.00,725423.75,4162686.75
9,26.00,725420.75,4162684.75
9,27.00,725421.10,4162683.19
9,28.00,725415.25,4162680.25
9,29.00,725412.25,4162679.25
9,30.00,725410.25,4162678.25
9,31.00,725408.75,4162677.25
9,32.00,725406.25,4162675.25
9,33.00,725404.75,4162674.25
9,34.00,725401.75,4162671.75
9,35.00,725398.75,4162670.25
9,36.00,725395.25,4162668.25
9,37.00,725392.75,4162665.75
9,38.00,725389.75,4162663.75
9,39.00,725387.75,4162662.68
9,40.00,725386.25,4162661.75
9,41.00,725384.84,4162660.77
9,42.00,725383.25,4162660.25
9,43.00,725382.25,4162658.25
9,44.00,725380.25,4162658.25
9,45.00,725378.75,4162656.25
9,46.00,725373.46,4162654.80
9,47.00,725374.25,4162653.25
9,48.00,725371.25,4162651.75
9,49.00,725368.25,4162649.75
10,1.00,725489.25,4162727.25
10,2.00,725487.75,4162724.75
10,3.00,725484.75,4162722.75
10,4.00,725481.25,4162720.75
10,5.00,725478.75,4162718.75
10,6.00,725476.75,4162717.25
10,7.00,725475.25,4162716.75
10,8.00,725473.75,4162715.25
10,9.00,725470.55,4162714.69
10,10.00,725469.25,4162712.25
10,11.00,725467.25,4162711.75
10,12.00,725465.50,4162710.53
10,13.00,725463.25,4162708.75
10,14.00,725461.25,4162707.75
10,15.00,725459.75,4162706.75
10,16.00,725456.75,4162704.75
10,17.00,725454.75,4162703.25
10,18.00,725450.25,4162699.75
10,19.00,725446.30,4162699.48
10,20.00,725443.75,4162696.25
10,21.00,725440.25,4162694.25
10,22.00,725438.25,4162691.75
10,23.00,725434.75,4162689.75
10,24.00,725431.25,4162688.25
10,25.00,725428.75,4162686.25
10,26.00,725425.25,4162684.25
10,27.00,725422.25,4162681.75
10,28.00,725419.25,4162680.75
10,29.00,725416.75,4162678.25
10,30.00,725414.25,4162676.75
10,31.00,725412.37,4162675.67
10,32.00,725410.75,4162674.25
10,33.00,725408.47,4162673.91
10,34.00,725405.25,4162670.75
10,35.00,725403.25,4162669.25
10,36.00,725401.25,4162668.25
10,37.00,725399.75,4162667.25
10,38.00,725394.25,4162663.75
10,39.00,725392.75,4162662.25
10,40.00,725391.25,4162661.35
10,41.00,725389.48,4162660.61
10,42.00,725388.25,4162659.25
10,43.00,725386.25,4162658.25
10,44.00,725383.62,4162656.50
10,45.00,725382.25,4162655.25
10,46.00,725380.25,4162654.75
10,47.00,725378.75,4162653.25
10,48.00,725369.66,4162648.61
10,49.00,725370.25,4162647.25
11,1.00,725491.25,4162723.75
11,2.00,725489.46,4162722.35
11,3.00,725487.75,4162721.25
11,4.00,725486.38,4162720.15
11,5.00,725484.75,4162719.25
11,6.00,725483.25,4162717.75
11,7.00,725480.25,4162716.25
11,8.00,725477.25,4162714.25
11,9.00,725475.25,4162712.75
11,10.00,725473.95,4162711.70
11,11.00,725472.75,4162710.75
11,12.00,725470.75,4162709.75
11,13.00,725469.25,4162709.25
11,14.00,725466.25,4162707.25
11,15.00,725464.75,4162706.25
11,16.00,725462.75,4162704.75
11,17.00,725459.75,4162703.25
11,18.00,725458.75,4162702.25
11,19.00,725455.75,4162700.25
11,20.00,725453.25,4162699.25
