ROW,TREE #,DBH,HT,HTLC,DIST from Tree 1,Dist from Tree 1 Ft,Tree,CuFT,CuMe,status
3,31,9.1,60.76472,,,0.0,151,12.195474982415998,0.3453368259820773,Alive
3,32,9.3,61.20566,,,0.0,152,12.818442529492003,0.3629772734191192,Alive
3,33,9.0,60.5423,,,0.0,153,11.890834594000001,0.33671038503137923,Alive
3,34,9.6,61.85732,,,0.0,154,13.787324054656,0.390412897790883,Alive
3,35,4.4,48.90568,,,0.0,155,2.4729072362240005,0.07002481962670777,Alive
3,36,9.8,62.28526,,,0.0,156,14.456355761552004,0.4093577348287158,Alive
3,37,10.5,63.74209999999999,,,0.0,157,16.945098329500002,0.47983096037678563,Alive
3,38,9.8,62.28526,,,0.0,158,14.456355761552004,0.4093577348287158,Alive
3,39,9.3,61.20566,,,0.0,159,12.818442529492003,0.3629772734191192,Alive
3,40,9.1,57.0,49.0,,0.0,160,11.453494599999999,0.32432631588927996,Alive
3,41,12.4,67.37528,,,0.0,161,24.875392865664008,0.7043915246984346,Alive
3,42,7.4,56.80678,,,0.0,162,7.623049469264002,0.21586036721125487,Alive
3,43,13.0,68.4251,,,0.0,163,27.741433722000004,0.7855486304191297,Alive
3,44,,0.0,,,0.0,164,0.0,0.0,Dead
3,45,8.1,58.48202,,2268.0,189.0,165,9.351562690636001,0.2648063303982015,Alive
3,46,6.4,54.30308,,,0.0,166,5.513214893184002,0.15611660348731274,Alive
3,47,10.8,64.34696,,,0.0,167,18.082412006272,0.512036044299203,Alive
3,48,10.1,62.91742000000001,,,0.0,168,15.494820313796001,0.4387637278616986,Alive
3,49,7.3,56.562259999999995,,,0.0,169,7.393292748252,0.2093543920937022,Alive
3,50,,0.0,,,0.0,170,0.0,0.0,Dead
3,51,12.1,66.83282,,,0.0,171,23.507773759356002,0.6656649279889321,Alive
3,52,10.9,64.54598,,,0.0,172,18.471014763444,0.523040030853491,Alive
3,53,8.4,59.18048,,,0.0,173,10.157833711744003,0.2876373456487126,Alive
3,54,9.3,61.20566,,,0.0,174,12.818442529492003,0.3629772734191192,Alive
3,55,8.1,58.48202,,,0.0,175,9.351562690636001,0.2648063303982015,Alive
3,56,7.4,56.80678,,,0.0,176,7.623049469264002,0.21586036721125487,Alive
3,57,10.0,62.708,,,0.0,177,15.143994000000001,0.4288294492992,Alive
3,58,,0.0,,,0.0,178,0.0,0.0,Dead
3,59,13.0,68.4251,,,0.0,179,27.741433722000004,0.7855486304191297,Alive
3,60,7.5,50.0,41.0,3324.0,277.0,180,0.0,0.0,Alive
4,1,10.0,62.708,,,0.0,181,15.143994000000001,0.4288294492992,Alive
4,2,11.4,65.52158,,,0.0,182,20.485629197584004,0.5800874648621467,Alive
4,3,6.8,55.32016,,,0.0,183,6.307539992192001,0.17860934845090246,Alive
4,4,9.8,62.28526,,,0.0,184,14.456355761552004,0.4093577348287158,Alive
4,5,10.3,63.33236,,,0.0,185,16.210543572312005,0.4590307202284446,Alive
4,6,9.4,61.42418,,,0.0,186,13.136798496624003,0.37199209566920255,Alive
4,7,,0.0,,,0.0,187,0.0,0.0,Dead
4,8,11.2,65.13524000000001,,,0.0,188,19.665433523328,0.5568621479933743,Alive
4,9,7.3,56.562259999999995,,,0.0,189,7.393292748252,0.2093543920937022,Alive
4,10,5.3,50.0,39.0,,0.0,190,3.5622000000000003,0.10087010496000001,Alive
4,11,14.5,70.8449,,,0.0,191,35.6699237355,1.0100580964334063,Alive
4,12,,0.0,,,0.0,192,0.0,0.0,Dead
4,13,9.7,62.07194,,,0.0,193,14.119520226348,0.39981963034545104,Alive
4,14,7.2,56.31644,,,0.0,194,7.167767314048001,0.20296823347843443,Alive
4,15,7.7,57.53254,,920.0,76.66666666666667,195,8.337918225908002,0.2361031628193917,Alive
4,16,7.7,57.53254,,,0.0,196,8.337918225908002,0.2361031628193917,Alive
4,17,8.0,58.2466,,,0.0,197,9.091612112000002,0.25744536185308164,Alive
4,18,7.4,56.80678,,,0.0,198,7.623049469264002,0.21586036721125487,Alive
4,19,11.2,65.13524000000001,,,0.0,199,19.665433523328,0.5568621479933743,Alive
4,20,6.0,55.0,42.0,,0.0,200,4.931890000000001,0.13965534275200003,Alive
4,21,7.5,57.05,,,0.0,201,7.857058750000001,0.22248676121200003,Alive
4,22,6.9,55.57118,,,0.0,202,6.516360433924001,0.18452247513533915,Alive
4,23,9.9,62.49728,,,0.0,203,14.797843022464003,0.41902756129850866,Alive
4,24,8.3,58.94896,,,0.0,204,9.884655373472004,0.27990180927953207,Alive
4,25,,0.0,,,0.0,205,0.0,0.0,Dead
4,26,10.6,63.94502,,,0.0,206,17.319462624336,0.4904317592407977,Alive
4,27,10.4,63.53788,,,0.0,207,16.575461899904006,0.46936403952720174,Alive
4,28,7.4,56.80678,,,0.0,208,7.623049469264002,0.21586036721125487,Alive
4,29,10.2,63.12554,,,0.0,209,15.850333212208001,0.44883071550345155,Alive
4,30,5.4,46.0,37.0,1868.0,155.66666666666666,210,3.4119268000000007,0.09661484881024002,Alive
4,31,5.3,51.39886,,,0.0,211,3.655719666212,0.10351828264419197,Alive
4,32,8.3,58.94896,,,0.0,212,9.884655373472004,0.27990180927953207,Alive
4,33,8.7,59.867239999999995,,,0.0,213,11.004106321527997,0.311601077885444,Alive
4,34,7.3,56.562259999999995,,,0.0,214,7.393292748252,0.2093543920937022,Alive
4,35,8.5,59.410700000000006,,,0.0,215,10.435456918500003,0.2954987464697809,Alive
4,36,9.4,61.42418,,,0.0,216,13.136798496624003,0.37199209566920255,Alive
4,37,7.4,56.80678,,,0.0,217,7.623049469264002,0.21586036721125487,Alive
4,38,10.0,62.708,,,0.0,218,15.143994000000001,0.4288294492992,Alive
4,39,8.6,59.63962,,,0.0,219,10.717542182576,0.3034864984755681,Alive
4,40,,0.0,,,0.0,220,0.0,0.0,Dead
4,41,5.0,50.5795,,,0.0,221,3.22897025,0.0914341047752,Alive
