Row,Tree,pre_DBH,pre_HT,pre_stem_vol,pre_stem_vol_m3,status,DBH,HT
9,13,5.2,44.165,3.062,0.087,Alive,5.2,44.16468
9,14,7.5,48.939,6.771,0.192,Alive,7.5,48.939249999999994
9,15,7.2,48.316,6.181,0.175,Alive,7.2,48.31648
9,16,11.1,56.412,16.762,0.475,Alive,11.1,56.41248999999999
10,1,7.6,49.147,6.976,0.198,Alive,7.6,49.14684
10,2,8.3,50.6,8.516,0.241,Alive,8.3,50.59997
10,3,8.8,51.638,9.737,0.276,Alive,8.8,51.637919999999994
10,4,8.6,51.223,9.236,0.262,Alive,8.6,51.222739999999995
10,5,8.8,51.638,9.737,0.276,Alive,8.8,51.637919999999994
10,6,9.6,53.299,11.91,0.337,Alive,9.6,53.29863999999999
10,7,8.7,51.43,9.484,0.269,Alive,8.7,51.43033
10,8,8.4,50.808,8.752,0.248,Alive,8.4,50.807559999999995
10,9,7.4,48.732,6.571,0.186,Alive,7.4,48.73166
10,10,8.8,54.0,10.172,0.288,Alive,8.8,54.0
10,11,9.1,52.261,10.519,0.298,Alive,9.1,52.26069
10,12,8.1,50.185,8.056,0.228,Alive,8.1,50.18478999999999
10,13,9.9,53.921,12.797,0.362,Alive,9.9,53.921409999999995
10,14,8.3,50.6,8.516,0.241,Alive,8.3,50.59997
10,15,7.5,48.939,6.771,0.192,Alive,7.5,48.939249999999994
10,16,7.5,48.939,6.771,0.192,Alive,7.5,48.939249999999994
10,17,10.0,54.129,13.102,0.371,Alive,10.0,54.129
10,18,9.7,53.506,12.201,0.346,Alive,9.7,53.506229999999995
11,1,10.4,54.959,14.367,0.407,Alive,10.4,54.95936
11,2,9.3,52.676,11.063,0.313,Alive,9.3,52.67587
11,3,4.2,42.089,1.987,0.056,Alive,4.2,42.08878
11,4,8.9,51.846,9.993,0.283,Alive,8.9,51.84551
11,5,7.7,49.354,7.184,0.203,Alive,7.7,49.354429999999994
11,6,8.1,50.185,8.056,0.228,Alive,8.1,50.18478999999999
11,7,8.8,51.638,9.737,0.276,Alive,8.8,51.637919999999994
11,8,8.0,49.977,7.832,0.222,Alive,8.0,49.9772
11,9,10.0,54.129,13.102,0.371,Alive,10.0,54.129
11,10,8.5,49.0,8.645,0.245,Alive,8.5,49.0
11,11,7.3,48.524,6.374,0.18,Alive,7.3,48.524069999999995
11,12,8.9,51.846,9.993,0.283,Alive,8.9,51.84551
11,13,10.0,54.129,13.102,0.371,Alive,10.0,54.129
11,14,8.5,51.015,8.992,0.255,Alive,8.5,51.01514999999999
11,15,8.6,51.223,9.236,0.262,Alive,8.6,51.222739999999995
11,16,10.1,54.337,13.412,0.38,Alive,10.1,54.336589999999994
11,17,4.4,42.504,2.178,0.062,Alive,4.4,42.50396
11,18,9.5,53.091,11.623,0.329,Alive,9.5,53.09105
11,19,8.5,51.015,8.992,0.255,Alive,8.5,51.01514999999999
11,20,10.2,54.544,13.725,0.389,Alive,10.2,54.54418
11,21,6.4,46.656,4.768,0.135,Alive,6.4,46.65576
11,22,7.4,48.732,6.571,0.186,Alive,7.4,48.73166
12,1,7.9,49.77,7.612,0.216,Alive,7.9,49.76961
12,2,8.1,50.185,8.056,0.228,Alive,8.1,50.18478999999999
12,3,10.0,54.129,13.102,0.371,Alive,10.0,54.129
12,4,10.8,55.79,15.707,0.445,Alive,10.8,55.78972
12,5,7.4,48.732,6.571,0.186,Alive,7.4,48.73166
12,6,6.7,47.279,5.271,0.149,Alive,6.7,47.27853
12,7,8.2,50.392,8.284,0.235,Alive,8.2,50.39238
12,8,6.3,46.448,4.607,0.13,Alive,6.3,46.44817
12,9,8.1,50.185,8.056,0.228,Alive,8.1,50.18478999999999
12,10,5.4,40.0,2.996,0.085,Alive,5.4,40.0
12,11,10.2,54.544,13.725,0.389,Alive,10.2,54.54418
12,12,7.5,48.939,6.771,0.192,Alive,7.5,48.939249999999994
12,13,6.3,46.448,4.607,0.13,Alive,6.3,46.44817
12,14,7.3,48.524,6.374,0.18,Alive,7.3,48.524069999999995
12,15,7.4,48.732,6.571,0.186,Alive,7.4,48.73166
12,16,9.8,53.714,12.497,0.354,Alive,9.8,53.71382
12,17,9.1,52.261,10.519,0.298,Alive,9.1,52.26069
12,18,5.8,45.41,3.855,0.109,Alive,5.8,45.410219999999995
12,19,7.5,48.939,6.771,0.192,Alive,7.5,48.939249999999994
12,20,6.4,47.0,4.801,0.136,Alive,6.4,47.0
12,21,6.7,47.279,5.271,0.149,Alive,6.7,47.27853
12,22,5.9,45.618,3.999,0.113,Alive,5.9,45.61781
12,23,8.8,51.638,9.737,0.276,Alive,8.8,51.637919999999994
13,1,7.0,47.901,5.806,0.164,Alive,7.0,47.90129999999999
13,2,8.6,51.223,9.236,0.262,Alive,8.6,51.222739999999995
13,3,4.5,42.712,2.278,0.065,Alive,4.5,42.711549999999995
13,4,9.0,52.053,10.254,0.29,Alive,9.0,52.0531
13,5,8.4,50.808,8.752,0.248,Alive,8.4,50.807559999999995
13,6,9.2,52.468,10.789,0.306,Alive,9.2,52.46827999999999
13,7,7.4,48.732,6.571,0.186,Alive,7.4,48.73166
13,8,9.2,52.468,10.789,0.306,Alive,9.2,52.46827999999999
13,9,10.3,54.752,14.044,0.398,Alive,10.3,54.75176999999999
13,10,8.4,53.0,9.12,0.258,Alive,8.4,53.0
13,11,8.5,51.015,8.992,0.255,Alive,8.5,51.01514999999999
13,12,8.6,51.223,9.236,0.262,Alive,8.6,51.222739999999995
13,13,8.4,50.808,8.752,0.248,Alive,8.4,50.807559999999995
13,14,7.8,49.562,7.396,0.209,Alive,7.8,49.56202
13,15,9.0,52.053,10.254,0.29,Alive,9.0,52.0531
13,16,8.0,49.977,7.832,0.222,Alive,8.0,49.9772
13,17,8.9,51.846,9.993,0.283,Alive,8.9,51.84551
13,18,8.0,49.977,7.832,0.222,Alive,8.0,49.9772
13,19,8.1,50.185,8.056,0.228,Alive,8.1,50.18478999999999
13,20,4.6,38.0,2.133,0.06,Alive,4.6,38.0
13,21,8.5,51.015,8.992,0.255,Alive,8.5,51.01514999999999
13,22,10.4,54.959,14.367,0.407,Alive,10.4,54.95936
13,23,7.8,49.562,7.396,0.209,Alive,7.8,49.56202
13,24,6.2,46.241,4.45,0.126,Alive,6.2,46.240579999999994
13,25,9.0,52.053,10.254,0.29,Alive,9.0,52.0531
14,1,8.3,50.6,8.516,0.241,Alive,8.3,50.59997
14,2,4.6,42.919,2.381,0.067,Alive,4.6,42.91914
14,3,5.5,44.787,3.444,0.098,Alive,5.5,44.78744999999999
14,4,8.0,49.977,7.832,0.222,Alive,8.0,49.9772
