Row,Tree,X,Y
7,43,725376.6,4162663.27
7,44,725373.25,4162661.75
7,45,725369.75,4162657.75
7,46,725365.75,4162655.75
8,1,725490.25,4162731.75
8,2,725486.75,4162730.25
8,3,725484.25,4162729.75
8,4,725482.75,4162728.75
8,5,725479.75,4162726.25
8,6,725477.75,4162725.25
8,7,725473.75,4162722.75
8,8,725470.25,4162720.75
8,9,725467.75,4162718.75
8,10,725465.75,4162717.75
8,11,725461.25,4162714.75
8,12,725459.75,4162713.75
8,13,725458.25,4162712.75
8,14,725456.75,4162711.63
8,15,725454.75,4162710.75
8,16,725453.75,4162709.75
8,17,725451.75,4162708.25
8,18,725448.75,4162706.75
8,19,725446.75,4162705.25
8,20,725443.75,4162703.25
8,21,725442.4,4162703.23
8,22,725440.25,4162701.25
8,23,725437.25,4162699.25
8,24,725434.75,4162697.25
8,25,725428.25,4162693.25
8,26,725425.25,4162691.25
8,27,725421.75,4162689.25
8,28,725418.75,4162687.25
8,29,725416.25,4162684.75
8,30,725413.25,4162682.75
8,31,725412.16,4162682.99
8,32,725410.25,4162681.75
8,33,725408.25,4162680.75
8,34,725404.25,4162677.75
8,35,725401.75,4162675.25
8,36,725399.75,4162674.25
8,37,725397.25,4162672.75
8,38,725395.25,4162671.25
8,39,725392.25,4162669.25
8,40,725387.75,4162666.25
8,41,725385.75,4162665.25
8,42,725382.25,4162661.75
8,43,725376.75,4162659.75
8,44,725375.75,4162658.25
8,45,725372.75,4162656.75
8,46,725366.08,4162654.23
8,47,725366.98,4162652.38
9,1,725484.25,4162726.25
9,2,725482.25,4162725.25
9,3,725480.98,4162724.36
9,4,725478.75,4162721.75
9,5,725476.75,4162721.25
9,6,725475.32,4162720.51
9,7,725473.75,4162719.25
9,8,725472.25,4162718.25
9,9,725468.75,4162716.25
9,10,725467.75,4162715.25
9,11,725464.19,4162713.03
9,12,725462.75,4162712.25
9,13,725461.75,4162711.25
9,14,725459.14,4162708.96
9,15,725456.75,4162708.25
9,16,725452.25,4162705.25
9,17,725450.25,4162704.25
9,18,725448.3,4162702.87
9,19,725445.25,4162700.25
9,20,725442.25,4162698.75
9,21,725439.25,4162696.75
9,22,725436.25,4162694.25
9,23,725433.75,4162692.75
9,24,725429.75,4162690.75
9,25,725423.75,4162686.75
9,26,725420.75,4162684.75
9,27,725421.1,4162683.19
9,28,725415.25,4162680.25
9,29,725412.25,4162679.25
9,30,725410.25,4162678.25
9,31,725408.75,4162677.25
9,32,725406.25,4162675.25
9,33,725404.75,4162674.25
9,34,725401.75,4162671.75
9,35,725398.75,4162670.25
9,36,725395.25,4162668.25
9,37,725392.75,4162665.75
9,38,725389.75,4162663.75
9,39,725387.75,4162662.68
9,40,725386.25,4162661.75
9,41,725384.84,4162660.77
9,42,725383.25,4162660.25
9,43,725382.25,4162658.25
9,44,725380.25,4162658.25
9,45,725378.75,4162656.25
9,46,725373.46,4162654.8
9,47,725374.25,4162653.25
9,48,725371.25,4162651.75
9,49,725368.25,4162649.75
10,1,725489.25,4162727.25
10,2,725487.75,4162724.75
10,3,725484.75,4162722.75
10,4,725481.25,4162720.75
10,5,725478.75,4162718.75
10,6,725476.75,4162717.25
10,7,725475.25,4162716.75
10,8,725473.75,4162715.25
10,9,725470.55,4162714.69
10,10,725469.25,4162712.25
10,11,725467.25,4162711.75
10,12,725465.5,4162710.53
10,13,725463.25,4162708.75
10,14,725461.25,4162707.75
10,15,725459.75,4162706.75
10,16,725456.75,4162704.75
10,17,725454.75,4162703.25
10,18,725450.25,4162699.75
10,19,725446.3,4162699.48
10,20,725443.75,4162696.25
10,21,725440.25,4162694.25
10,22,725438.25,4162691.75
10,23,725434.75,4162689.75
10,24,725431.25,4162688.25
10,25,725428.75,4162686.25
10,26,725425.25,4162684.25
10,27,725422.25,4162681.75
10,28,725419.25,4162680.75
10,29,725416.75,4162678.25
10,30,725414.25,4162676.75
