Row,Tree,pre_DBH,pre_HT,pre_LLC,pre_stem_vol
7,38,8,65.665,,10.2215828
7,39,9.2,67.882912,,13.89404102
7,40,,33.605,,0.21949
7,41,9.1,67.723903,,13.56704505
7,42,8.1,65.875643,,10.50609023
7,43,,33.605,,0.21949
7,44,10.3,69.322207,,17.7229452
7,45,,33.605,,0.21949
7,46,8,66.7,52.6,10.379234
7,47,9.8,68.738392,,15.9313817
7,48,7.7,65.004907,,9.392345428
7,49,7.7,65.004907,,9.392345428
7,50,8.8,67.218712,,12.6083826
7,51,8.5,66.671275,,11.68394909
7,52,7.1,63.557983,,7.844909857
7,53,11,69.9424,,20.36150235
8,1,8.6,66.858448,,11.98823494
8,2,9.4,68.186848,,14.55896594
8,3,9.1,67.723903,,13.56704505
8,4,6.4,,,0.21949
8,5,7.9,65.449663,,9.941108053
8,6,9.6,68.472008,,15.23819501
8,7,7.7,65.004907,,9.392345428
8,8,8.6,66.858448,,11.98823494
8,9,8.7,72.8,51.4,13.33384216
8,10,8.3,66.282847,,11.08710628
8,11,8.4,66.479408,,11.38356313
8,12,7.3,64.059067,,8.344114279
8,13,6.7,62.499487,,6.896822692
8,14,8.7,67.040927,,12.29639008
8,15,9.6,68.472008,,15.23819501
8,16,5.7,,,0.21949
8,17,6.9,,,0.21949
8,18,10,75.9,51.2,18.28369
8,19,7.3,64.059067,,8.344114279
8,20,8.1,65.875643,,10.50609023
8,21,10.8,69.788672,,19.59304867
8,22,8.8,67.218712,,12.6083826
8,23,11,69.9424,,20.36150235
8,24,9,67.5602,,13.24374536
8,25,11.8,70.369552,,23.53934028
8,26,10.2,69.214832,,17.35813447
8,27,11.7,77.6,52.3,25.50143032
8,28,12,70.4294,,24.35705397
8,29,10.1,,,0.21949
8,30,11.2,70.077352,,21.14088722
8,31,10.9,69.867883,,19.97587757
8,32,10.5,,,0.21949
8,33,9.8,68.738392,,15.9313817
8,34,8.5,66.671275,,11.68394909
8,35,7.3,64.059067,,8.344114279
8,36,6.2,59.7,45.9,5.68127584
8,37,8.1,65.875643,,10.50609023
8,38,7.8,65.229632,,9.66468853
8,39,5.7,59.524667,,4.822306305
8,40,9.6,68.472008,,15.23819501
8,41,7,63.3004,,7.601582648
8,42,8.1,65.875643,,10.50609023
8,43,9,67.5602,,13.24374536
8,44,8.3,69.6,50,11.63098072
8,45,7,63.3004,,7.601582648
8,46,9.4,68.186848,,14.55896594
8,47,7.6,64.775488,,9.124098605
8,48,8.3,66.282847,,11.08710628
8,49,7.4,64.302568,,8.599966524
8,50,8.3,66.282847,,11.08710628
8,51,7.5,64.541375,,8.859966578
8,52,8.4,66.479408,,11.38356313
8,53,10.2,73.7,44.5,18.46873024
8,54,,,,
8,55,,,,
9,1,10.3,69.322207,,17.7229452
9,2,8,65.665,,10.2215828
9,3,7.5,,,0.21949
9,4,11,69.9424,,20.36150235
9,5,8,65.665,,10.2215828
9,6,7.7,65.004907,,9.392345428
9,7,8.4,72.8,50.8,12.44499784
9,8,7.7,65.004907,,9.392345428
9,9,6.1,60.770923,,5.601350787
9,10,8.3,66.282847,,11.08710628
9,11,8.7,67.040927,,12.29639008
9,12,8.7,67.040927,,12.29639008
9,13,8,65.665,,10.2215828
9,14,5.9,60.157183,,5.203380266
9,15,8.4,66.479408,,11.38356313
9,16,8.9,67.391803,,12.92417922
9,17,6.9,68.6,46.6,7.99267948
9,18,6.9,63.038123,,7.362453186
9,19,9.5,68.331775,,14.89681361
9,20,7.2,63.810872,,8.092424339
9,21,8,,,0.21949
9,22,11.6,70.290928,,22.73035651
